Akt,Erk,Jnk,Mek,P38,PKA,PKC,PIP2,PIP3,Plcg,Raf
1,2,1,1,1,3,1,1,1,1,1
2,3,1,1,1,3,1,1,1,1,1
1,2,1,1,1,3,1,1,1,1,1
1,2,1,1,1,3,1,2,3,1,1
2,3,1,1,1,3,1,1,2,1,1
1,2,1,1,1,3,1,1,2,1,2
1,2,1,1,1,3,1,1,3,1,1
1,2,1,1,1,3,1,1,2,1,1
1,2,1,1,1,3,1,1,1,1,1
2,3,1,1,1,3,1,1,3,1,1
1,2,1,1,1,3,1,1,1,1,1
1,2,1,1,1,3,1,1,3,1,1
1,2,1,1,2,3,1,1,2,1,1
1,2,1,1,2,3,1,1,3,1,1
1,2,1,1,1,3,1,1,2,1,1
1,2,1,1,1,2,1,1,2,1,1
1,2,1,1,1,3,1,1,2,1,1
1,2,1,1,1,3,1,1,3,1,1
1,2,1,1,1,3,1,1,3,1,1
1,2,1,1,1,3,1,1,1,1,2
1,2,1,1,3,3,1,1,3,1,2
1,3,1,1,1,3,1,2,3,2,1
1,2,1,1,1,3,1,2,3,2,1
2,3,1,1,1,3,1,1,2,1,1
1,2,1,1,1,3,1,1,3,1,1
2,3,1,1,1,3,1,1,1,1,1
1,2,1,1,1,3,1,1,1,1,1
1,2,1,1,3,3,1,1,3,1,2
1,2,1,1,1,3,1,1,3,1,1
2,3,1,1,1,3,1,1,3,1,1
1,3,1,1,2,3,1,1,2,1,1
1,2,1,1,1,3,1,1,3,1,1
2,3,1,1,1,3,1,2,3,2,1
1,1,1,1,1,3,1,1,2,1,1
2,3,1,1,3,3,2,1,1,1,2
2,3,1,1,1,3,1,1,2,1,1
2,2,1,1,1,3,1,1,3,1,1
1,2,1,1,2,2,1,1,3,1,1
1,2,1,1,1,3,1,1,2,1,1
2,3,1,1,1,3,1,1,3,1,1
1,2,1,1,1,3,1,1,2,1,1
1,2,1,1,1,3,1,1,3,1,1
2,3,1,1,1,3,1,1,2,1,2
1,1,1,1,1,3,1,1,2,1,1
1,1,1,1,1,3,1,1,2,1,1
1,2,1,1,1,3,1,1,2,1,1
2,3,1,1,3,3,1,1,3,1,1
1,2,1,1,1,3,1,2,2,1,1
1,2,1,1,1,3,1,1,1,1,1
2,3,1,1,1,3,1,1,2,1,1
1,2,1,1,1,3,1,1,2,1,1
2,3,1,1,2,3,1,1,2,1,1
1,2,1,1,1,3,1,1,3,1,1
1,2,1,1,2,3,1,1,2,1,1
1,2,1,1,2,3,1,1,3,1,1
1,2,1,1,2,2,1,1,2,1,1
2,3,1,1,1,3,1,1,3,1,1
1,2,1,1,1,3,1,1,2,1,1
2,3,1,1,1,3,1,1,1,1,1
1,2,1,1,3,3,1,1,3,1,1
1,2,1,1,1,3,1,2,3,2,1
2,3,1,1,3,3,1,1,3,1,3
1,1,1,1,1,3,1,1,2,1,1
1,2,1,1,1,3,1,1,2,1,1
1,2,1,1,1,3,2,1,3,1,1
1,1,1,1,1,3,1,1,3,1,1
1,2,1,1,1,3,1,1,1,1,1
1,2,1,1,1,3,1,1,1,1,1
1,3,1,1,3,3,1,1,1,1,1
1,2,1,1,1,3,1,1,1,1,1
1,2,1,1,1,3,1,1,2,1,1
1,2,1,1,1,3,1,1,2,1,1
2,2,1,1,1,3,1,1,1,1,2
1,2,1,1,1,3,1,1,3,1,2
1,2,1,1,3,3,1,1,3,1,1
2,3,1,1,3,3,1,1,3,1,1
1,2,1,1,1,3,1,1,3,2,1
2,2,1,1,1,3,1,1,2,1,1
2,3,1,1,2,3,1,1,2,1,1
1,2,1,1,1,3,1,1,3,1,1
1,2,1,1,3,3,2,1,1,1,2
1,2,1,1,3,3,1,1,2,1,1
2,3,1,1,3,3,1,1,2,1,1
1,2,1,1,1,3,1,1,2,2,1
1,2,1,1,1,3,1,1,1,1,1
1,2,1,1,2,3,1,2,3,2,1
2,3,1,1,3,3,2,1,1,1,1
1,2,1,1,1,3,1,2,3,1,1
1,2,1,1,3,3,1,2,3,1,1
2,3,1,1,1,3,1,1,2,1,1
2,3,1,1,1,3,1,1,3,1,1
1,2,1,1,1,3,1,1,2,1,2
2,3,1,1,1,3,1,2,3,1,3
1,2,1,1,3,3,1,2,3,2,2
1,2,1,1,1,3,1,1,3,1,1
1,2,1,1,3,3,2,1,3,2,1
2,3,1,1,1,3,1,2,3,1,1
1,2,1,1,1,3,1,1,2,1,1
1,2,1,1,1,3,1,1,2,1,1
1,2,1,1,1,3,1,1,3,1,1
1,2,1,1,1,3,1,1,3,1,1
1,2,1,1,1,3,1,2,3,1,1
1,2,1,1,1,3,1,1,3,1,1
1,2,1,1,1,3,1,1,2,1,1
1,2,1,1,1,3,1,1,1,1,1
1,2,1,1,1,3,1,2,3,1,1
1,2,1,1,1,3,1,1,3,1,1
1,2,1,1,3,3,1,2,3,1,1
1,2,1,1,1,3,1,1,2,1,1
1,2,1,1,1,3,1,1,3,2,1
1,2,1,1,1,3,1,1,2,1,1
2,3,1,1,1,3,1,1,1,1,1
1,2,1,1,1,3,1,1,3,2,1
1,2,1,1,1,3,1,1,3,1,1
1,2,1,1,1,3,1,1,3,1,1
1,3,1,1,1,2,1,1,2,1,1
2,3,1,1,2,3,2,1,3,1,1
1,2,1,1,1,3,1,1,2,1,1
1,1,1,1,1,3,1,1,1,1,1
1,2,1,1,1,3,1,1,2,1,1
1,2,1,1,3,3,2,2,3,2,1
1,2,1,1,1,3,1,1,2,1,1
1,2,1,1,2,3,1,1,2,1,1
2,3,1,1,1,3,1,1,3,1,1
1,2,1,1,1,3,1,1,2,1,1
1,2,1,1,1,3,1,1,2,1,1
1,1,1,1,1,3,1,1,3,1,1
2,3,1,1,1,3,1,1,1,1,1
1,3,1,1,2,3,1,1,3,2,1
1,2,1,1,1,3,1,1,3,1,1
1,3,1,1,1,3,1,1,3,2,1
2,2,1,1,1,3,1,1,2,1,1
1,2,1,1,1,3,1,1,3,1,1
1,2,1,1,1,3,1,1,3,2,1
1,2,1,1,1,3,1,1,2,1,2
1,2,1,1,3,3,2,1,2,1,1
2,3,1,1,3,3,1,1,2,1,1
1,2,1,1,1,3,1,1,3,2,1
1,2,1,1,1,3,1,1,2,1,1
1,1,1,1,1,3,1,1,3,2,2
1,2,1,1,1,3,1,1,3,1,1
1,2,1,1,1,3,1,1,3,1,1
1,2,1,1,3,3,1,1,2,1,2
1,2,1,1,1,3,1,1,1,2,1
1,2,1,1,1,3,1,1,2,1,1
1,2,1,1,1,3,1,1,3,1,1
1,2,1,1,1,3,1,1,3,1,1
2,3,1,1,1,3,2,2,3,1,1
1,1,1,1,1,2,1,1,3,2,2
1,2,1,1,1,3,1,1,2,1,1
1,2,1,1,1,2,1,2,3,1,1
2,3,1,1,3,3,2,1,2,1,2
1,2,1,1,2,3,1,1,3,1,1
1,2,1,1,2,3,2,1,2,1,1
1,2,1,1,3,3,1,1,2,1,1
1,1,1,1,1,3,1,1,2,1,1
1,2,1,1,1,3,1,1,3,1,1
1,2,1,1,1,3,1,1,2,1,1
1,2,1,1,1,3,1,1,1,1,1
1,2,1,1,1,3,1,1,3,1,2
2,2,1,1,1,3,1,1,1,1,1
1,2,1,1,1,3,1,1,3,1,1
2,3,1,1,1,3,1,1,3,1,1
1,2,1,1,1,3,1,1,2,1,1
1,2,1,1,1,3,1,1,2,1,1
1,2,1,1,3,3,1,2,3,2,2
1,2,1,1,1,3,1,1,2,1,1
1,1,1,1,3,3,1,1,2,1,1
1,2,1,1,1,2,1,1,3,1,1
1,2,1,1,1,3,1,1,3,1,1
1,2,1,1,1,3,1,1,2,1,1
2,3,1,1,1,3,1,1,1,1,1
1,1,1,1,2,2,1,1,3,1,1
1,2,1,1,1,3,1,1,3,1,1
1,2,1,1,1,3,1,1,2,1,1
1,2,2,1,1,2,2,1,3,1,1
1,2,2,1,1,2,1,1,1,1,1
1,2,1,2,1,2,2,1,2,1,2
1,2,2,2,1,2,2,1,1,1,2
2,2,2,1,1,2,1,1,3,1,1
1,2,2,1,2,2,2,1,2,1,1
1,2,1,2,1,2,2,1,2,1,1
2,2,1,1,1,2,1,1,2,1,1
1,2,2,2,2,2,2,1,3,1,2
2,2,2,1,1,2,2,1,3,1,1
1,2,2,1,1,2,2,1,2,1,1
1,2,2,1,2,2,2,1,3,1,2
1,2,2,2,1,2,2,1,2,1,2
1,2,2,2,1,2,2,1,2,1,1
1,2,1,1,1,2,2,1,3,1,1
1,2,1,2,2,1,2,1,2,1,1
1,2,1,2,1,2,2,1,2,1,1
1,2,1,1,1,2,2,1,2,1,1
2,3,2,1,1,2,2,1,3,1,1
1,2,2,1,1,2,2,1,2,1,1
1,2,1,1,1,2,2,1,1,1,1
2,3,1,2,2,2,1,1,2,1,1
1,2,1,1,1,2,2,1,3,1,1
1,2,1,1,1,2,2,1,2,1,1
1,2,2,1,2,2,2,1,1,1,2
1,2,2,1,1,2,2,1,3,1,1
2,2,2,1,1,2,2,1,1,1,1
1,2,2,2,2,2,2,1,2,1,1
1,2,1,2,1,2,2,1,2,1,2
1,2,1,1,2,2,2,1,2,1,2
1,2,2,1,1,2,2,1,1,1,2
1,2,2,1,1,2,2,1,3,1,1
2,3,1,1,1,2,2,1,3,1,2
1,2,2,2,1,2,1,1,2,1,3
1,1,2,1,2,2,2,1,3,1,1
2,3,1,2,1,2,2,1,2,1,2
1,2,2,2,1,2,1,1,2,1,2
2,2,1,2,1,2,2,2,3,1,2
1,2,1,2,1,2,2,1,2,1,1
1,1,2,1,1,2,1,1,2,1,2
1,1,2,1,2,2,2,1,3,1,2
1,2,2,2,2,2,2,1,2,1,2
1,2,1,2,1,2,2,1,3,1,2
1,2,2,2,1,2,2,1,3,1,1
1,2,1,1,1,2,2,1,2,1,2
2,3,1,1,1,2,2,1,1,1,2
1,2,1,2,1,2,2,1,3,1,2
1,1,1,2,1,1,2,1,3,1,2
1,2,1,2,1,2,2,2,3,1,3
1,2,2,1,2,2,2,1,1,1,2
1,2,2,2,1,2,1,1,1,1,2
2,2,1,1,1,2,2,1,2,1,1
1,1,1,2,1,1,2,1,2,1,2
1,2,1,2,1,2,1,1,3,1,2
3,3,2,1,1,2,2,1,3,1,1
1,2,1,1,1,2,2,1,3,1,1
1,2,2,1,2,2,2,1,3,1,1
1,2,1,2,1,2,2,1,2,1,3
1,2,2,2,1,2,1,1,2,1,2
1,2,2,2,1,2,1,1,3,2,2
1,1,1,1,1,2,1,1,2,1,1
1,2,2,2,1,2,1,1,2,1,1
1,2,1,1,1,2,2,1,1,1,1
1,2,2,1,1,2,2,1,3,1,2
1,2,1,2,1,2,2,1,3,1,2
1,2,1,2,1,2,2,1,3,1,2
1,2,2,2,1,1,2,1,2,1,2
2,3,1,2,2,2,2,2,3,1,2
1,2,1,2,2,2,1,1,2,1,2
1,2,2,2,1,2,1,1,2,1,2
1,2,1,2,1,2,2,1,1,1,2
1,2,1,1,1,2,2,1,3,1,1
1,2,1,1,1,2,2,1,3,1,1
1,2,1,2,1,2,2,1,2,1,2
1,2,1,2,1,2,2,1,2,1,1
1,2,1,1,2,2,1,1,1,1,1
1,2,1,1,1,2,1,1,2,1,2
2,3,2,1,1,2,2,1,3,1,1
1,2,2,2,1,2,2,1,3,1,2
1,2,1,1,1,2,2,1,2,1,1
1,1,1,2,1,2,1,1,2,1,2
1,2,2,1,2,2,2,1,3,1,1
2,3,2,1,1,2,1,1,3,1,1
2,2,1,1,1,2,2,1,3,1,1
1,2,2,2,1,2,1,1,3,1,1
1,2,2,1,1,2,1,1,3,1,1
1,2,1,2,1,2,2,1,2,1,1
1,2,1,2,1,2,2,1,3,1,2
1,2,1,1,1,2,2,1,3,1,2
1,2,2,2,1,2,1,1,3,1,2
1,2,1,2,1,2,2,1,3,1,2
1,2,1,2,1,2,2,1,3,1,2
1,2,1,1,1,2,2,1,2,1,1
1,2,1,1,1,2,2,1,3,1,1
2,2,2,1,1,2,1,1,3,1,1
1,2,2,1,1,2,1,1,3,1,2
2,2,1,2,1,2,2,1,2,1,3
1,2,1,2,1,2,1,1,3,1,2
1,2,2,2,1,2,2,1,3,1,2
2,3,1,2,2,2,2,1,3,1,2
1,2,1,1,1,2,2,1,3,2,2
1,2,1,2,1,1,2,1,3,1,2
1,2,2,1,1,2,1,1,3,1,1
1,2,1,2,1,2,2,1,3,1,2
1,2,1,2,1,2,2,1,3,1,2
1,1,2,1,1,2,1,1,3,1,1
1,2,2,2,1,2,2,1,3,1,2
2,2,2,1,1,2,2,1,2,1,2
1,2,1,2,1,2,2,1,3,1,2
1,2,2,2,1,2,1,1,2,1,2
1,2,2,2,1,2,1,1,3,1,2
1,2,2,2,1,2,1,1,1,1,2
1,2,2,2,1,2,1,1,2,1,1
2,2,2,1,1,2,1,1,2,1,1
1,2,2,2,1,2,2,1,3,1,1
2,3,1,2,2,2,2,1,1,1,1
1,2,2,2,1,2,1,1,2,1,2
1,1,2,2,1,2,1,1,2,1,1
1,2,1,2,1,2,2,1,1,1,2
1,2,2,1,1,2,2,1,3,1,1
1,2,2,1,1,2,2,1,2,1,1
1,2,2,2,1,2,1,1,3,1,2
1,2,1,2,1,2,2,1,3,1,2
1,2,2,1,1,2,2,1,3,1,1
1,2,1,1,1,2,2,1,2,1,2
1,2,2,1,2,2,2,1,3,1,1
1,2,2,2,1,2,1,1,3,1,2
1,2,2,2,1,2,1,1,3,1,2
1,2,2,2,2,2,2,1,2,1,2
1,2,1,1,1,2,2,2,3,1,1
2,2,2,2,1,2,2,1,2,1,3
2,3,1,1,1,2,2,1,2,1,1
1,2,1,2,1,2,2,1,3,1,2
1,2,1,1,1,2,2,1,2,1,2
2,3,2,2,2,2,2,1,3,1,2
2,3,1,2,1,2,2,2,2,1,2
2,2,1,1,1,2,2,1,2,1,1
1,2,2,2,2,2,2,1,1,1,2
1,2,1,1,1,2,2,1,3,1,2
2,2,1,2,2,2,2,1,3,1,2
2,3,1,1,1,2,2,1,2,1,2
1,2,2,2,1,2,1,1,2,1,2
1,2,2,2,1,2,2,1,3,1,2
1,1,2,2,1,2,1,1,3,1,1
1,2,1,1,1,2,2,1,2,1,1
2,2,2,2,1,2,1,1,2,1,2
1,2,2,1,1,2,1,1,2,1,1
1,2,2,1,1,2,1,1,2,1,1
1,1,1,1,1,2,2,1,3,1,1
1,2,2,2,1,2,1,1,3,1,2
1,2,1,1,1,2,2,1,2,1,2
2,3,1,2,1,2,2,1,2,1,2
1,2,2,1,1,2,2,1,2,1,2
1,2,2,1,1,2,1,1,3,1,2
1,2,2,1,1,2,2,1,3,1,1
2,3,2,1,2,2,2,1,3,1,1
1,2,2,1,1,2,1,1,3,1,1
1,1,2,2,1,2,1,1,2,1,2
1,2,2,1,1,2,1,1,2,1,1
1,2,1,1,1,2,2,1,3,1,1
2,2,2,2,1,2,1,1,1,1,1
1,1,1,1,1,2,2,1,3,1,2
1,2,1,2,1,2,2,1,1,1,2
1,2,2,1,1,2,2,1,3,1,2
1,2,1,1,1,2,2,1,3,1,2
1,2,2,1,1,2,1,1,2,2,1
1,2,2,2,1,2,1,1,1,1,2
1,1,2,2,1,1,1,1,3,1,2
1,2,1,2,1,2,2,1,2,1,2
1,2,2,2,1,2,2,1,2,1,2
2,2,1,2,1,2,2,1,1,1,2
2,3,2,2,1,2,1,1,2,1,2
1,2,1,2,1,2,2,1,3,1,2
1,2,2,1,1,2,2,1,3,2,1
1,2,2,2,1,2,1,1,2,1,2
2,3,2,2,1,2,1,1,3,1,2
1,2,2,1,1,2,1,1,3,2,2
1,2,2,1,1,2,2,1,2,1,1
1,2,2,1,1,2,2,1,3,1,2
1,2,2,1,1,2,2,1,2,1,1
1,2,1,1,1,2,2,1,3,1,1
1,2,2,1,1,2,1,1,3,1,1
1,2,1,1,1,2,2,1,1,1,1
2,2,1,1,1,2,2,1,3,1,1
1,2,1,2,1,2,2,1,3,1,2
1,2,1,1,1,2,2,1,2,1,1
2,2,1,2,1,2,2,1,3,1,2
1,2,1,2,1,2,2,1,3,2,2
2,3,1,2,1,2,2,1,2,1,2
1,2,1,1,1,2,1,1,2,1,1
1,2,2,2,2,1,2,1,3,1,2
1,2,1,2,1,2,2,1,1,1,2
2,2,1,1,1,1,2,1,2,1,1
2,3,1,2,1,2,2,1,3,1,2
1,2,2,2,1,2,1,1,3,1,2
1,2,1,1,1,2,2,1,3,1,1
1,1,2,1,1,2,1,1,2,1,2
1,2,1,1,1,2,2,1,2,1,2
1,2,1,1,1,2,2,1,3,2,1
1,2,2,1,1,2,1,1,3,1,1
1,2,2,1,1,2,2,1,3,1,1
1,2,1,1,2,2,1,1,2,1,2
1,2,1,2,1,1,2,1,3,1,2
2,2,1,2,1,1,2,1,2,1,1
1,2,2,2,1,2,2,1,2,1,2
1,2,1,1,1,2,1,1,1,1,2
2,3,1,1,1,2,2,1,2,1,1
1,2,1,2,2,2,2,1,2,1,2
1,2,2,1,1,2,2,1,3,1,1
2,2,1,2,1,2,2,1,2,1,2
1,2,1,1,1,2,2,1,1,1,2
1,2,1,1,1,2,2,1,2,1,2
2,3,2,1,1,2,2,1,3,1,1
2,3,2,1,1,2,2,1,2,1,2
1,2,2,2,1,2,1,1,3,1,2
2,3,1,1,2,2,2,1,2,1,2
1,2,2,2,1,2,2,1,3,2,2
1,2,1,2,1,2,2,1,2,1,2
1,1,2,1,1,2,2,1,2,1,1
2,2,1,2,1,2,2,1,3,1,3
1,2,2,1,1,2,1,1,2,1,1
1,2,1,2,1,2,2,1,3,1,2
1,2,2,1,1,2,1,1,3,1,1
2,3,1,2,1,2,2,1,1,1,1
1,2,2,1,1,2,2,2,3,1,1
1,2,1,2,1,2,2,1,2,1,2
1,2,1,1,1,2,2,1,3,1,2
1,2,2,1,2,2,2,1,2,1,2
2,2,1,1,2,2,2,1,3,1,1
1,2,2,2,1,2,2,1,2,1,1
2,2,2,2,1,1,2,1,3,1,3
1,1,2,1,2,2,1,1,1,2,1
1,2,2,2,1,2,1,1,2,1,1
2,3,1,2,1,2,2,1,2,1,3
1,2,2,2,1,2,2,1,3,1,2
1,2,1,1,2,2,2,1,2,2,1
1,2,2,2,1,2,2,1,3,1,1
3,3,2,1,1,2,2,1,1,1,2
2,2,1,2,2,2,2,2,3,1,2
2,3,1,2,1,2,2,1,2,1,2
1,2,1,1,1,2,2,1,3,1,1
1,2,2,2,1,2,1,1,3,2,1
1,2,1,1,1,2,2,1,2,1,1
2,3,2,2,1,2,2,1,3,1,1
1,2,2,2,2,2,2,1,1,1,2
2,2,2,1,1,2,1,1,2,1,1
2,2,1,1,2,2,1,1,3,1,1
1,2,2,2,2,2,2,1,2,1,2
2,3,2,2,1,2,1,1,3,1,1
1,2,2,1,1,2,1,1,3,1,2
1,1,1,2,1,1,2,1,3,1,1
3,3,1,1,1,2,2,1,1,1,1
1,2,1,1,2,2,2,1,1,1,1
